filename,start,end,flag,vad flag
M016.wav,15040000,15200000,"{'L2': [{'start': 15040000, 'end': 15174448}, {'start': 15181984, 'end': 15200000}], 'L1': [{'start': 15174448, 'end': 15181984}]}",{'No Speech': []}
B026.wav,3840000,4000000,"{'L1': [{'start': 3840000, 'end': 3860752}, {'start': 3878912, 'end': 3893616}, {'start': 3911776, 'end': 3974496}, {'start': 3975728, 'end': 3982432}, {'start': 3997392, 'end': 4000000}], 'L2': [{'start': 3860752, 'end': 3878912}, {'start': 3893616, 'end': 3911776}, {'start': 3938848, 'end': 3943920}, {'start': 3964416, 'end': 3989824}], 'No Speech': [{'start': 3989824, 'end': 3997392}]}","{'No Speech': [{'start': 0, 'end': 10272}, {'start': 71136, 'end': 73760}]}"
M019.wav,16160000,16320000,"{'L1': [{'start': 16160000, 'end': 16190656}, {'start': 16204736, 'end': 16210480}, {'start': 16229280, 'end': 16306160}], 'L2': [{'start': 16178544, 'end': 16229280}, {'start': 16245088, 'end': 16264912}, {'start': 16285728, 'end': 16297328}, {'start': 16305184, 'end': 16320000}]}","{'No Speech': [{'start': 0, 'end': 32}, {'start': 108000, 'end': 110624}]}"
M031.wav,16960000,17120000,"{'L2': [{'start': 16960000, 'end': 16960688}, {'start': 16969776, 'end': 16996352}, {'start': 17004640, 'end': 17056304}, {'start': 17076848, 'end': 17120000}], 'No Speech': [{'start': 16960688, 'end': 16969776}, {'start': 16996352, 'end': 17004640}, {'start': 17056304, 'end': 17076848}]}","{'No Speech': [{'start': 0, 'end': 14368}, {'start': 38368, 'end': 42016}, {'start': 97248, 'end': 101920}, {'start': 144864, 'end': 160000}]}"
B046.wav,4960000,5120000,"{'L2': [{'start': 4960000, 'end': 4977872}, {'start': 4991280, 'end': 5013904}, {'start': 5019168, 'end': 5078624}], 'L1': [{'start': 4977872, 'end': 4991280}, {'start': 5013904, 'end': 5019168}, {'start': 5078624, 'end': 5120000}]}","{'No Speech': [{'start': 22496, 'end': 31776}, {'start': 67040, 'end': 70176}, {'start': 107488, 'end': 110112}, {'start': 120288, 'end': 125984}, {'start': 153056, 'end': 160000}]}"
B034.wav,26880000,27040000,"{'L1': [{'start': 26880000, 'end': 26935344}, {'start': 26952816, 'end': 26955136}, {'start': 26958576, 'end': 26997296}], 'L2': [{'start': 26935040, 'end': 26952816}, {'start': 26955136, 'end': 26962848}, {'start': 26972352, 'end': 27040000}]}","{'No Speech': [{'start': 0, 'end': 3616}, {'start': 133600, 'end': 138272}]}"
B010.wav,16000000,16160000,"{'L2': [{'start': 16000000, 'end': 16001136}, {'start': 16008304, 'end': 16041024}, {'start': 16069760, 'end': 16091440}, {'start': 16098352, 'end': 16142032}], 'L1': [{'start': 16001136, 'end': 16011728}, {'start': 16015232, 'end': 16060704}, {'start': 16091440, 'end': 16098352}, {'start': 16142032, 'end': 16158240}], 'No Speech': [{'start': 16060704, 'end': 16069760}, {'start': 16158240, 'end': 16160000}]}","{'No Speech': [{'start': 42464, 'end': 45088}, {'start': 151008, 'end': 160000}]}"
M038.wav,14240000,14400000,"{'L1': [{'start': 14240000, 'end': 14240832}, {'start': 14270784, 'end': 14275872}, {'start': 14296768, 'end': 14302704}, {'start': 14323936, 'end': 14328688}, {'start': 14347184, 'end': 14354560}, {'start': 14366208, 'end': 14370544}], 'L2': [{'start': 14240832, 'end': 14296768}, {'start': 14302720, 'end': 14340048}, {'start': 14354560, 'end': 14400000}], 'No Speech': [{'start': 14240832, 'end': 14240832}, {'start': 14302704, 'end': 14302720}, {'start': 14340048, 'end': 14347184}]}","{'No Speech': [{'start': 0, 'end': 544}, {'start': 7136, 'end': 11808}, {'start': 103904, 'end': 108064}]}"
B036.wav,52000000,52160000,"{'L1': [{'start': 52000000, 'end': 52160000}]}","{'No Speech': [{'start': 67040, 'end': 77344}]}"
M018.wav,14720000,14880000,"{'L2': [{'start': 14720000, 'end': 14786624}, {'start': 14817888, 'end': 14823504}, {'start': 14832160, 'end': 14872464}, {'start': 14875488, 'end': 14880000}], 'L1': [{'start': 14823504, 'end': 14832160}], 'No Speech': [{'start': 14786624, 'end': 14817888}, {'start': 14872464, 'end': 14875488}]}","{'No Speech': [{'start': 0, 'end': 16416}, {'start': 71136, 'end': 73760}]}"
