file path,transcription,roman,vad flag,language flag,duration
/your/path/to/generated/cs/samples/by/unicom/1535_English_Xhosa_(Xhosa).wav,isebenzisa ubuchwephesha belanga engafaniyo nale yakudala eyayisebenzisa ubuchwephesha obubheyise kwi groundradar ukuvumela abalawuli benqwelomoya bakhombe inqwelomoya ngokuchanileyo kwaye give abaqhubi bazo ingcombolo ezichanileyo,isebenzisa ubuchwephesha belanga engafaniyo nale yakudala eyayisebenzisa ubuchwephesha obubheyise kwi groundradar ukuvumela abalawuli benqwelomoya bakhombe inqwelomoya ngokuchanileyo kwaye give abaqhubi bazo ingcombolo ezichanileyo,"{'No Speech': [{'start': 0, 'end': 6688}, {'start': 71648, 'end': 73248}, {'start': 102880, 'end': 105504}, {'start': 125408, 'end': 127008}, {'start': 158688, 'end': 163360}, {'start': 170464, 'end': 176160}, {'start': 190944, 'end': 195104}, {'start': 254432, 'end': 258592}, {'start': 270304, 'end': 279072}, {'start': 327136, 'end': 339383}]}","{'English': [{'start': 0, 'end': 0}, {'start': 264881, 'end': 268404}], 'Xhosa': [{'start': 0, 'end': 264881}, {'start': 268404, 'end': 339383}]}",21.21
/your/path/to/generated/cs/samples/by/unicom/1536_English_Xhosa_(Xhosa).wav,abasemagunyeni ekuhlaleni alumkisa residents abakufuphi nesakhiwo ukuba stay indoors turn off iziphozisi bushushu kwaye bangawaseli amanzi aphuma etephini,abasemagunyeni ekuhlaleni alumkisa residents abakufuphi nesakhiwo ukuba stay indoors turn off iziphozisi bushushu kwaye bangawaseli amanzi aphuma etephini,"{'No Speech': [{'start': 0, 'end': 9760}, {'start': 89056, 'end': 92704}, {'start': 133088, 'end': 138272}, {'start': 157664, 'end': 162336}, {'start': 196064, 'end': 202478}]}","{'English': [{'start': 0, 'end': 0}, {'start': 48712, 'end': 56403}, {'start': 93258, 'end': 107999}, {'start': 107999, 'end': 116331}], 'Xhosa': [{'start': 0, 'end': 48712}, {'start': 56403, 'end': 93258}, {'start': 107999, 'end': 107999}, {'start': 116331, 'end': 202478}]}",12.65
/your/path/to/generated/cs/samples/by/unicom/1541_English_Xhosa_(Xhosa).wav,amashishini okuthumela paid kakuhle ngoku fikisa imithwalo yabantu ngokukhawulezisileyo ngokwesiqhelo time libalulekile neempepha zeshishini amabhaso namalungu are phindeneyo ukwenzela ukulungiswa kwezinto,amashishini okuthumela paid kakuhle ngoku fikisa imithwalo yabantu ngokukhawulezisileyo ngokwesiqhelo time libalulekile neempepha zeshishini amabhaso namalungu are phindeneyo ukwenzela ukulungiswa kwezinto,"{'No Speech': [{'start': 0, 'end': 2592}, {'start': 27104, 'end': 42528}, {'start': 103392, 'end': 114208}, {'start': 169440, 'end': 176160}, {'start': 221152, 'end': 227872}, {'start': 241632, 'end': 245280}, {'start': 266208, 'end': 275668}]}","{'English': [{'start': 0, 'end': 0}, {'start': 20822, 'end': 25628}, {'start': 127180, 'end': 131665}], 'Xhosa': [{'start': 0, 'end': 20822}, {'start': 25628, 'end': 127180}, {'start': 131665, 'end': 275668}]}",17.23
/your/path/to/generated/cs/samples/by/unicom/1550_English_Xhosa_(English).wav,skiing is a major travelling activity with many abalandeli occasionally known as ski bums planning entire vacations ngokundiza skiing at a particular location,skiing is a major travelling activity with many abalandeli occasionally known as ski bums planning entire vacations ngokundiza skiing at a particular location,"{'No Speech': [{'start': 0, 'end': 8736}, {'start': 66016, 'end': 72736}, {'start': 85472, 'end': 89120}, {'start': 120288, 'end': 125472}, {'start': 151008, 'end': 154144}, {'start': 203744, 'end': 224955}]}","{'English': [{'start': 0, 'end': 0}, {'start': 73697, 'end': 82990}, {'start': 154765, 'end': 167262}], 'Xhosa': [{'start': 0, 'end': 73697}, {'start': 82990, 'end': 154765}, {'start': 167262, 'end': 224955}]}",14.06
/your/path/to/generated/cs/samples/by/unicom/1572_English_Xhosa_(English).wav,three more iibhombu zaqhuma near government buildings in a period of two hours,three more iibhombu zaqhuma near government buildings in a period of two hours,"{'No Speech': [{'start': 0, 'end': 12832}, {'start': 81888, 'end': 99753}]}","{'English': [{'start': 0, 'end': 0}, {'start': 22141, 'end': 30164}, {'start': 30485, 'end': 39149}], 'Xhosa': [{'start': 0, 'end': 22141}, {'start': 30164, 'end': 30485}, {'start': 39149, 'end': 99753}]}",6.23
/your/path/to/generated/cs/samples/by/unicom/1585_English_Xhosa_(English).wav,over time as the new population begins to ukuziqhelanisa to their new nentlalo they start to look less and less like the other population,over time as the new population begins to ukuziqhelanisa to their new nentlalo they start to look less and less like the other population,"{'No Speech': [{'start': 0, 'end': 12320}, {'start': 25056, 'end': 26656}, {'start': 79840, 'end': 81440}, {'start': 133088, 'end': 147494}]}","{'English': [{'start': 0, 'end': 0}, {'start': 48417, 'end': 64128}, {'start': 70862, 'end': 78878}], 'Xhosa': [{'start': 0, 'end': 48417}, {'start': 64128, 'end': 70862}, {'start': 78878, 'end': 147494}]}",9.22
/your/path/to/generated/cs/samples/by/unicom/1599_English_Xhosa_(Xhosa).wav,population boqobo achanged konke konke basadinga adaptations olufanayo nolwangaphambili,population boqobo achanged konke konke basadinga adaptations olufanayo nolwangaphambili,"{'No Speech': [{'start': 0, 'end': 544}, {'start': 27104, 'end': 34336}, {'start': 104928, 'end': 108064}, {'start': 123872, 'end': 132261}]}","{'English': [{'start': 0, 'end': 11221}, {'start': 19556, 'end': 25648}, {'start': 77263, 'end': 90728}], 'Xhosa': [{'start': 0, 'end': 0}, {'start': 11221, 'end': 19556}, {'start': 25648, 'end': 77263}, {'start': 90728, 'end': 132261}]}",8.27
/your/path/to/generated/cs/samples/by/unicom/1636_English_Xhosa_(English).wav,the amaspanish aqale the colonization period which elithatha for three centuries,the amaspanish aqale the colonization period which elithatha for three centuries,"{'No Speech': [{'start': 0, 'end': 10272}, {'start': 57824, 'end': 62496}, {'start': 101344, 'end': 118701}]}","{'English': [{'start': 0, 'end': 0}, {'start': 12515, 'end': 23748}, {'start': 24069, 'end': 31129}, {'start': 67072, 'end': 76379}], 'Xhosa': [{'start': 0, 'end': 12515}, {'start': 23748, 'end': 24069}, {'start': 31129, 'end': 67072}, {'start': 76379, 'end': 118701}]}",7.42
/your/path/to/generated/cs/samples/by/unicom/1639_English_Xhosa_(Xhosa).wav,kuba abafundi bahlala bengabaphulaphuli abanento yokuthetha umbhali webhlogi uqalisa ukusebenzela ukuphucula indlela yokubhala ukuze avoid ukugxekwa,kuba abafundi bahlala bengabaphulaphuli abanento yokuthetha umbhali webhlogi uqalisa ukusebenzela ukuphucula indlela yokubhala ukuze avoid ukugxekwa,"{'No Speech': [{'start': 0, 'end': 14880}, {'start': 41952, 'end': 44576}, {'start': 94688, 'end': 100384}, {'start': 138720, 'end': 151584}, {'start': 208352, 'end': 219383}]}","{'English': [{'start': 0, 'end': 0}, {'start': 183945, 'end': 189713}], 'Xhosa': [{'start': 0, 'end': 183945}, {'start': 189713, 'end': 219383}]}",13.71
/your/path/to/generated/cs/samples/by/unicom/1642_English_Xhosa_(English).wav,the war iindleko of us imperialism in the conquest of the iiphilippines were zahlawulelwa by the filipino people themselves,the war iindleko of us imperialism in the conquest of the iiphilippines were zahlawulelwa by the filipino people themselves,"{'No Speech': [{'start': 0, 'end': 21024}, {'start': 40416, 'end': 51232}, {'start': 76256, 'end': 84512}, {'start': 121824, 'end': 123936}, {'start': 183264, 'end': 201921}]}","{'English': [{'start': 0, 'end': 0}, {'start': 29488, 'end': 38142}, {'start': 101285, 'end': 116029}, {'start': 126607, 'end': 148403}], 'Xhosa': [{'start': 0, 'end': 29488}, {'start': 38142, 'end': 101285}, {'start': 116029, 'end': 126607}, {'start': 148403, 'end': 201921}]}",12.62
/your/path/to/generated/cs/samples/by/unicom/1510_English_Shona_(Shona).wav,un ine tariro zvakare yekuunganidza mari yehelp nyika dzakavhiringidzwa nekupisa zvakanyanya kwepasi kuti dzikwanise kurwisana nematambudziko anokonzerwa naizvozvo,un ine tariro zvakare yekuunganidza mari yehelp nyika dzakavhiringidzwa nekupisa zvakanyanya kwepasi kuti dzikwanise kurwisana nematambudziko anokonzerwa naizvozvo,"{'No Speech': [{'start': 0, 'end': 36896}, {'start': 139232, 'end': 146464}, {'start': 202720, 'end': 247247}]}","{'English': [{'start': 0, 'end': 0}, {'start': 86510, 'end': 90355}], 'Shona': [{'start': 0, 'end': 86510}, {'start': 90355, 'end': 247247}]}",15.45
